Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","18.05"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","4.85"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","4.14"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Algérie","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.07"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","1241"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","68"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","3691"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","1557"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","172"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","-133"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","365.27"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","326.6"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","219.18"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","29.98"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","74.01"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","21.74"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","31.62"
"Bilans Alimentaires (2010-)","Allemagne","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","1.42"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","142"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","24"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","249"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","318"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","33.2"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","144.27"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","342.96"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","43.09"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","0.39"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","3.45"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","0.34"
"Bilans Alimentaires (2010-)","Angola","Disponibilité intérieure","Animaux Aquatiques Autre","2017","Milliers de tonnes","0.01"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande de porcins","2017","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Abats Comestible","2017","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Poissons Eau Douce","2017","Milliers de tonnes","0.11"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Perciform","2017","Milliers de tonnes","1.17"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Poissons Pelagiques","2017","Milliers de tonnes","1.05"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Poissons Marins, Autres","2017","Milliers de tonnes","2.44"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Crustacés","2017","Milliers de tonnes","0.79"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Cephalopodes","2017","Milliers de tonnes","0.02"
"Bilans Alimentaires (2010-)","Antigua-et-Barbuda","Disponibilité intérieure","Mollusques, Autres","2017","Milliers de tonnes","1.83"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Viande de Bovins","2017","Milliers de tonnes","194"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Viande d'Ovins/Caprins","2017","Milliers de tonnes","163"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Viande de Volailles","2017","Milliers de tonnes","1258"
"Bilans Alimentaires (2010-)","Arabie saoudite","Disponibilité intérieure","Viande, Autre","2017","Milliers de tonnes","45"
