Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Intensités des émissions","Cuba","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.9028"
"Intensités des émissions","Danemark","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3346"
"Intensités des émissions","Dominique","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.5605"
"Intensités des émissions","Égypte","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.376"
"Intensités des émissions","El Salvador","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.3022"
"Intensités des émissions","Émirats arabes unis","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.3242"
"Intensités des émissions","Équateur","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.2486"
"Intensités des émissions","Érythrée","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","1.8424"
"Intensités des émissions","Espagne","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2341"
"Intensités des émissions","Estonie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2347"
"Intensités des émissions","Eswatini","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.3923"
"Intensités des émissions","États-Unis d'Amérique","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1948"
"Intensités des émissions","Éthiopie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.7188"
"Intensités des émissions","Fédération de Russie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.2641"
"Intensités des émissions","Fidji","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.5041"
"Intensités des émissions","Finlande","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.1376"
"Intensités des émissions","France","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.5494"
"Intensités des émissions","Gabon","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.6434"
"Intensités des émissions","Gambie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","2.8804"
"Intensités des émissions","Géorgie","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.8969"
"Intensités des émissions","Ghana","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","4.0112"
"Intensités des émissions","Grèce","Intensité des émissions","Viande, poulet, fraîche ou réfrigérée","2017","kg CO2eq/kg","0.421"
